,Currency,Rate,extracted_date,data_source
96,MRU,39.64068,2025-11-24 02:20:55,openexchangerates_api
97,MUR,46.177998,2025-11-24 02:20:55,openexchangerates_api
98,MVR,15.4,2025-11-24 02:20:55,openexchangerates_api
99,MWK,1732.700148,2025-11-24 02:20:55,openexchangerates_api
100,MXN,18.476959,2025-11-24 02:20:55,openexchangerates_api
101,MYR,4.1675,2025-11-24 02:20:55,openexchangerates_api
102,MZN,63.909994,2025-11-24 02:20:55,openexchangerates_api
103,NAD,17.367174,2025-11-24 02:20:55,openexchangerates_api
104,NGN,1453.379849,2025-11-24 02:20:55,openexchangerates_api
105,NIO,36.769433,2025-11-24 02:20:55,openexchangerates_api
106,NOK,10.24334,2025-11-24 02:20:55,openexchangerates_api
107,NPR,143.074275,2025-11-24 02:20:55,openexchangerates_api
108,NZD,1.781833,2025-11-24 02:20:55,openexchangerates_api
109,OMR,0.384408,2025-11-24 02:20:55,openexchangerates_api
110,PAB,1.0,2025-11-24 02:20:55,openexchangerates_api
111,PEN,3.377421,2025-11-24 02:20:55,openexchangerates_api
112,PGK,4.228397,2025-11-24 02:20:55,openexchangerates_api
113,PHP,58.787428,2025-11-24 02:20:55,openexchangerates_api
114,PKR,282.357199,2025-11-24 02:20:55,openexchangerates_api
115,PLN,3.682897,2025-11-24 02:20:55,openexchangerates_api
116,PYG,7010.00396,2025-11-24 02:20:55,openexchangerates_api
117,QAR,3.641343,2025-11-24 02:20:55,openexchangerates_api
118,RON,4.4198,2025-11-24 02:20:55,openexchangerates_api
119,RSD,101.875813,2025-11-24 02:20:55,openexchangerates_api
120,RUB,79.05313,2025-11-24 02:20:55,openexchangerates_api
121,RWF,1452.887358,2025-11-24 02:20:55,openexchangerates_api
122,SAR,3.7505,2025-11-24 02:20:55,openexchangerates_api
123,SBD,8.230592,2025-11-24 02:20:55,openexchangerates_api
124,SCR,13.944854,2025-11-24 02:20:55,openexchangerates_api
125,SDG,601.5,2025-11-24 02:20:55,openexchangerates_api
126,SEK,9.544623,2025-11-24 02:20:55,openexchangerates_api
127,SGD,1.307237,2025-11-24 02:20:55,openexchangerates_api
128,SHP,0.763591,2025-11-24 02:20:55,openexchangerates_api
129,SLE,23.375,2025-11-24 02:20:55,openexchangerates_api
130,SLL,20969.5,2025-11-24 02:20:55,openexchangerates_api
131,SOS,570.039072,2025-11-24 02:20:55,openexchangerates_api
132,SRD,38.5525,2025-11-24 02:20:55,openexchangerates_api
133,SSP,130.26,2025-11-24 02:20:55,openexchangerates_api
134,STD,22281.8,2025-11-24 02:20:55,openexchangerates_api
135,STN,21.392731,2025-11-24 02:20:55,openexchangerates_api
